"sigma.hat","GARCH","Frequency","MSE","QLIKE"
0.0050477212626645,"sGARCH","Day",5.72957514603663e-10,-10.5170798430747
0.00492444151296314,"sGARCH","Day",6.06622986058279e-10,-8.61143556555114
0.0051350210265244,"sGARCH","Day",2.95490931253872e-10,-10.1952526560381
0.00506389269541253,"sGARCH","Day",9.8882913693249e-10,-8.34495393906557
0.00530779471196901,"sGARCH","Day",9.35047343975291e-10,-8.39176080509489
0.00554321815858442,"sGARCH","Day",8.57476327912989e-10,-10.3433474358677
0.00539225505093621,"sGARCH","Day",8.19834637831384e-10,-10.4303247978751
0.0052421620611951,"sGARCH","Day",4.17371045209106e-10,-10.2454728425933
0.00514304588291872,"sGARCH","Day",6.02797240615698e-10,-10.4684265620327
0.00502453328412907,"sGARCH","Day",6.05200924850005e-10,-10.5612926712926
0.0048872164589169,"sGARCH","Day",1.48762113563308e-10,-10.1529143665866
0.00483910112464868,"sGARCH","Day",5.06177217461857e-10,-10.622828046086
0.00471525052799644,"sGARCH","Day",1.25637017893163e-06,40.6998739059572
0.00999090992875448,"sGARCH","Day",4.80024403638543e-09,-8.90625845641791
0.00975069807640372,"sGARCH","Day",7.67463858685464e-09,-9.18225261492272
0.00942685399220591,"sGARCH","Day",1.56298969731104e-09,-7.88350405607948
0.00956016920300082,"sGARCH","Day",2.28083076693655e-11,-8.3525532046401
0.00956929972345146,"sGARCH","Day",1.94803420646236e-08,-6.77420447923975
0.0100398898262592,"sGARCH","Day",8.89381642862252e-09,-9.13796960195413
0.00971883543794359,"sGARCH","Day",2.50132217749434e-09,-8.79686724701087
0.00956376375950688,"sGARCH","Day",8.27319609149878e-09,-9.29398876488438
0.00924420546336648,"sGARCH","Day",6.40016052509196e-09,-9.30369002771427
0.008964697888611,"sGARCH","Day",1.07353670457102e-07,-4.35195534438459
0.0100928079276984,"sGARCH","Day",3.78435004030948e-09,-8.79577357306951
0.00989289609856374,"sGARCH","Day",7.2817329059545e-09,-9.10378431760059
0.00961093819495623,"sGARCH","Day",5.9617683426435e-09,-9.12561005147679
0.00930455393802896,"sGARCH","Day",5.53661083567416e-10,-8.08271427676107
0.00944053550297614,"sGARCH","Day",2.81085704355994e-09,-8.92036069721976
0.00927238128082167,"sGARCH","Day",3.55330238442111e-08,-6.16896080555607
0.00992035489658651,"sGARCH","Day",9.68014922252422e-09,-9.22607210380791
0.00959543807034749,"sGARCH","Day",8.25005861965156e-09,-9.2794391093649
0.00929748780505503,"sGARCH","Day",7.39543632531341e-09,-9.35085619467971
0.00899912636371987,"sGARCH","Day",2.00027554630176e-09,-8.97351634762766
0.00884628086245366,"sGARCH","Day",2.58053057900041e-10,-8.66078988003079
0.00880097431563512,"sGARCH","Day",3.98158308589498e-09,-9.28042691772881
0.00857506339909343,"sGARCH","Day",5.09661359412047e-09,-9.48867517113771
0.00832158353436389,"sGARCH","Day",3.92706648625449e-09,-9.4827504022024
0.00809287511045146,"sGARCH","Day",3.1313380912479e-10,-8.36335864189729
0.00819010358167807,"sGARCH","Day",4.39545430193787e-09,-9.59803552644268
0.00792789215860658,"sGARCH","Day",2.77355288568709e-09,-9.51265655769746
0.00773624546346701,"sGARCH","Day",3.56704677369935e-09,-9.72159343122739
0.00749398205871594,"sGARCH","Day",2.43351197066417e-09,-9.6657081621183
0.00728278753474684,"sGARCH","Day",1.56608947454163e-10,-9.08042938349748
0.00724751166106188,"sGARCH","Day",1.95710151480061e-10,-9.12052953736576
0.00720076679376893,"sGARCH","Day",1.57059938435011e-09,-9.63145551123222
0.00707809137347174,"sGARCH","Day",3.52392119845855e-09,-7.7166045261512
0.00739428424493337,"sGARCH","Day",2.61627346996969e-09,-9.74960778792756
0.00720538689527159,"sGARCH","Day",2.67266443063534e-09,-9.86161942293094
0.00702220440916787,"sGARCH","Day",2.29258956532283e-09,-9.88834945710398
0.00682633832061356,"sGARCH","Day",1.9187076305358e-09,-8.03393171816896
0.00705856116217623,"sGARCH","Day",2.07866644450622e-09,-9.82211015314436
0.00687354532505651,"sGARCH","Day",2.2252590341468e-09,-9.95860592754185
0.00668332612606182,"sGARCH","Day",3.26260720153111e-09,-7.73749529772797
0.00699223265007188,"sGARCH","Day",2.35735387692081e-09,-9.91898253832679
0.00680080945282711,"sGARCH","Day",2.13911848170506e-09,-9.98141853824722
0.0066184289436096,"sGARCH","Day",2.73174786094253e-10,-8.65847394130512
0.0067322207027366,"sGARCH","Day",1.56571565726957e-09,-9.87475172579167
0.00658337756598588,"sGARCH","Day",2.35805697236888e-12,-9.08184540572531
0.00661030868118244,"sGARCH","Day",5.99375330895792e-10,-9.59853092727097
0.00653534489778659,"sGARCH","Day",1.48977191616485e-09,-9.96475736840115
0.00638078471864062,"sGARCH","Day",1.25635594623426e-09,-9.97950734184138
0.00623482456158553,"sGARCH","Day",1.42807997633257e-09,-10.1273473849381
0.00606982863588571,"sGARCH","Day",6.40041706816143e-10,-9.89552487572285
0.00598508336185437,"sGARCH","Day",2.36969920036228e-08,-4.93956582774158
0.00681613831921246,"sGARCH","Day",1.61693317867211e-09,-8.11142005970743
0.00703300864953738,"sGARCH","Day",2.19334004337902e-09,-9.86110848564032
0.00685661429741362,"sGARCH","Day",2.09421069334112e-09,-9.93848166900179
0.00668717645470179,"sGARCH","Day",1.06699939303856e-09,-8.28466696073837
0.00687863190540213,"sGARCH","Day",2.16076333744222e-09,-9.94109612247867
0.00669025546934274,"sGARCH","Day",2.40754394495411e-11,-9.12382944395968
0.00671412798516661,"sGARCH","Day",1.90555851964026e-09,-9.97543164918313
0.00652522033832213,"sGARCH","Day",1.76054982302826e-09,-10.0496093094745
0.00635799840479548,"sGARCH","Day",1.52072169221337e-09,-10.0807650374488
0.00620014714077427,"sGARCH","Day",2.76120075371184e-09,-7.79943852544172
0.00651817250701116,"sGARCH","Day",1.52244835390674e-10,-9.35673782658387
0.00649485721201834,"sGARCH","Day",1.55761124391939e-09,-10.0090894602063
0.00632374994437857,"sGARCH","Day",5.51948552953943e-10,-8.53939655481703
0.00648945853431819,"sGARCH","Day",1.75643390857395e-09,-10.0703262773711
0.0063292819904225,"sGARCH","Day",7.49678890500319e-10,-9.80862158403701
0.00623662223805654,"sGARCH","Day",1.26253683701902e-09,-10.0681638118008
0.00609315803002872,"sGARCH","Day",1.06252802889904e-10,-9.4788196390329
0.00608771511963102,"sGARCH","Day",1.19565130338692e-09,-8.26993915861772
0.00630666661106413,"sGARCH","Day",7.13502570552534e-08,-2.41649185249944
0.00753275773840919,"sGARCH","Day",4.24574571076134e-09,-7.62865211716461
0.00785069488635201,"sGARCH","Day",3.70343635508832e-09,-9.68169082319226
0.00761465779162336,"sGARCH","Day",2.58321463921929e-09,-7.87880487126718
0.00782902743646581,"sGARCH","Day",2.86670559722709e-08,-5.93750170202808
0.00852670488447503,"sGARCH","Day",2.52432970681817e-09,-9.22015633508893
0.00836811635155211,"sGARCH","Day",2.07218308591774e-09,-9.21672071623359
0.00819560365351203,"sGARCH","Day",4.34379794869672e-09,-9.58954955085256
0.00795275443563181,"sGARCH","Day",3.65481807069273e-09,-9.62434147119786
0.00773366800718523,"sGARCH","Day",1.74513557626097e-08,-6.51560941454783
0.00827638872988188,"sGARCH","Day",8.62970678362994e-10,-9.01755780723873
0.0081762113929787,"sGARCH","Day",5.43258204281998e-09,-7.5105011807802
0.00847741345786148,"sGARCH","Day",3.63689422156552e-09,-9.37984786453293
0.00826169428411073,"sGARCH","Day",3.54734512186396e-09,-9.46484771536282
0.00804897805211217,"sGARCH","Day",6.05916168997243e-10,-8.26447174729229
0.00816648346400438,"sGARCH","Day",4.44746138974797e-09,-9.61540134496431
0.00792207934625791,"sGARCH","Day",3.31643342838624e-09,-9.59381128616062
0.00771208170919681,"sGARCH","Day",1.10638406576536e-09,-8.17067946435399
0.0078708195727035,"sGARCH","Day",2.27309275766718e-09,-9.45879255679713
0.00770115735549026,"sGARCH","Day",3.51005746268512e-09,-9.73172245613955
0.00748102494049204,"sGARCH","Day",1.88166916424187e-09,-9.56585611687089
0.0073228799011093,"sGARCH","Day",2.7464426551016e-09,-9.8107886748535
0.00711876530428357,"sGARCH","Day",2.30260163335866e-08,-5.89570925556595
0.00778899228962181,"sGARCH","Day",6.989692364827e-10,-9.145866759573
0.00770403769966522,"sGARCH","Day",8.08705693567552e-08,-3.94066529692986
0.00880569038051241,"sGARCH","Day",4.73464557481050e-09,-9.35210913730033
0.00856289624258442,"sGARCH","Day",4.86910593534738e-09,-9.47229673974961
0.00831859021279809,"sGARCH","Day",4.78641335738435e-09,-9.57830771835632
0.00807321919025138,"sGARCH","Day",3.98184431314954e-09,-9.60656931186362
0.00784463473040341,"sGARCH","Day",1.86873022909564e-09,-9.39832102418265
0.0076922964193541,"sGARCH","Day",9.31694882025192e-09,-7.10380565148601
0.00809611608080637,"sGARCH","Day",2.13574567768791e-09,-9.33779392714645
0.00793420481724496,"sGARCH","Day",1.00360721844405e-07,-3.64074521402662
0.00911097069319222,"sGARCH","Day",3.89030277989435e-09,-9.147936836754
0.00890771211426405,"sGARCH","Day",1.43304353092522e-07,-3.67080829667468
0.0102122430512474,"sGARCH","Day",1.79663466293224e-08,-6.88308598904434
0.0106387887425618,"sGARCH","Day",2.66166503308999e-10,-8.23063987576735
0.010576877415606,"sGARCH","Day",2.44201199305463e-09,-7.65643797855846
0.0107196452524878,"sGARCH","Day",3.26799075972057e-09,-8.56883896530876
0.0105458030848616,"sGARCH","Day",8.80710578374258e-09,-8.94788914618521
0.0102305132922747,"sGARCH","Day",3.6555825442665e-07,-2.38801269340055
0.01205158216425,"sGARCH","Day",1.58077956759916e-07,-5.0996602757631
0.0131184106621795,"sGARCH","Day",1.75422045082433e-08,-8.43710312301186
0.0127908879998706,"sGARCH","Day",1.98429757283993e-10,-7.63194469978234
0.0127645649242123,"sGARCH","Day",3.36919582581875e-07,-4.15969562575559
0.01425504834743,"sGARCH","Day",4.11007201479393e-08,-8.49895927962625
0.0137222031717518,"sGARCH","Day",3.54082536252439e-08,-8.57680014014512
0.0131796196310592,"sGARCH","Day",1.85331218524862e-08,-6.87443349089544
0.01349630719582,"sGARCH","Day",8.48737387152759e-10,-7.45073846728652
0.0135388054501313,"sGARCH","Day",2.31799120296223e-08,-8.43499673196632
0.0131187446202321,"sGARCH","Day",1.56521397300426e-07,-5.36862047222656
0.0140866599604887,"sGARCH","Day",3.92882820796091e-08,-8.52393898405314
0.0135461986372821,"sGARCH","Day",3.32732176639052e-08,-8.59735845163351
0.0130861834145929,"sGARCH","Day",1.56636623068732e-09,-7.90350763064515
0.0129389959614459,"sGARCH","Day",2.77444202809727e-08,-8.68993575960294
0.0124891497852755,"sGARCH","Day",6.18847076335686e-10,-7.92527729056027
